a,b,m,n,injection_id,channel_mn,time,current,voltage,polarity
60,61,62,64,1,0,2.492,0.242,23.375,0
60,61,62,64,1,0,2.497,0.242,17.375,0
60,61,62,64,1,0,2.502,0.242,25.813,0
60,61,62,64,1,0,2.507,0.242,29.188,0
60,61,62,64,1,0,2.512,0.242,14.563,0
60,61,62,64,1,0,2.517,0.242,32.562,0
60,61,62,64,1,0,2.522,0.243,27.125,0
60,61,62,64,1,0,2.527,0.242,19.062,0
60,61,62,64,1,0,2.532,0.242,23.750,0
60,61,62,64,1,0,2.537,0.243,20.938,0
60,61,62,64,1,0,2.542,0.242,22.250,0
60,61,62,64,1,0,2.547,0.242,26.375,0
60,61,62,64,1,0,2.552,0.242,16.250,0
60,61,62,64,1,0,2.557,0.242,29.750,0
60,61,62,64,1,0,2.562,0.242,29.188,0
60,61,62,64,1,0,2.567,0.242,23.000,0
60,61,62,64,1,0,2.572,0.242,26.563,0
60,61,62,64,1,0,2.577,0.242,24.312,0
60,61,62,64,1,0,2.582,0.242,18.125,0
60,61,62,64,1,0,2.587,0.242,21.125,0
60,61,62,64,1,0,2.592,0.242,29.000,0
60,61,62,64,1,0,2.597,0.242,20.938,0
60,61,62,64,1,0,2.602,0.242,11.000,0
60,61,62,64,1,0,2.607,0.242,15.875,0
60,61,62,64,1,0,2.612,0.242,29.000,0
60,61,62,64,1,0,2.617,0.242,16.250,0
60,61,62,64,1,0,2.622,0.242,24.875,0
60,61,62,64,1,0,2.627,0.242,27.875,0
60,61,62,64,1,0,2.632,0.242,21.688,0
60,61,62,64,1,0,2.637,0.242,27.875,0
60,61,62,64,1,0,2.642,0.242,17.000,0
60,61,62,64,1,0,2.647,0.242,23.750,0
60,61,62,64,1,0,2.652,0.242,22.625,0
60,61,62,64,1,0,2.657,0.242,27.875,0
60,61,62,64,1,0,2.662,0.242,10.062,0
60,61,62,64,1,0,2.667,0.242,34.812,0
60,61,62,64,1,0,2.672,0.242,29.750,0
60,61,62,64,1,0,2.677,0.241,27.500,0
60,61,62,64,1,0,2.682,0.243,25.813,0
