event,event_start,depth_cm,sensor_id,treatment,location,tag,peak_time,peak_vwc,tail_hours,n_samples,exp_A,exp_tau_h,exp_C,exp_r2,pow_A,pow_alpha,pow_C,pow_r2
40,1.7355024e+18,10,SMS08,swale,SwF,far,1.7355375e+18,0.2805503499999999,167.91666666666666,2016,0.13286460726745533,168.0806055617683,0.14812681218792242,0.9986335098246419,0.3304035582557294,0.0861704485806488,3.6505182227500553e-13,0.7982350192943864
44,1.7475318e+18,10,SMS08,swale,SwF,far,1.7475381e+18,0.2489365,167.91666666666666,2016,0.245497977905437,584.2465024644497,1.26958126055101e-17,0.8063458115742015,0.274258302346224,0.06114454670164099,4.868526591545698e-21,0.4715359721794907
45,1.7496783e+18,10,SMS08,swale,SwF,far,1.7496912e+18,0.23183011,167.91666666666666,2016,0.22884969937393465,381.98672240042606,2.5827075038001798e-21,0.9905642539035081,0.27650910006078905,0.09800571197098747,6.260983140697365e-16,0.7110874614869642
48,1.7540874e+18,10,SMS08,swale,SwF,far,1.7541183e+18,0.23105431,31.833333333333336,383,0.057387610972349165,25.49866326825918,0.17743350071333094,0.9919015733644395,0.24084062555396588,0.05473325054448992,8.472563249957293e-17,0.8477825081951575
50,1.7543367e+18,10,SMS08,swale,SwF,far,1.754355e+18,0.31868092,167.91666666666666,2016,0.14347643589980746,61.627231772435955,0.18131072986894511,0.9959123848136463,0.391241555609958,0.12977330319069125,1.6596384306189905e-18,0.8495541151266273
51,1.7554563e+18,10,SMS08,swale,SwF,far,1.7554698e+18,0.24975109,167.91666666666666,2016,0.09540008432470841,89.6215865310378,0.15538899953084234,0.9980755198566226,0.29475989305463035,0.09666054508149641,1.8807152990689244e-15,0.8409247721128806
52,1.7566785e+18,10,SMS08,swale,SwF,far,1.7566992e+18,0.2602631799999999,162.41666666666666,1950,0.11195053078230635,86.53989163044942,0.14847793107770382,0.9981457025562152,0.3126967058403945,0.1115489251743016,3.042351837646454e-15,0.8457993832610244
53,1.7572914e+18,10,SMS08,swale,SwF,far,1.7573007e+18,0.2879980299999999,87.08333333333334,1046,0.1554935112900348,109.57555898275068,0.13305347111511961,0.9949188678717914,0.32498595052974577,0.08750409418749484,7.284776168323827e-18,0.7985167793527224
54,1.7576217e+18,10,SMS08,swale,SwF,far,1.7576547e+18,0.2288044899999999,20.25,244,0.2300138516112006,440.7413607453437,1.87178809485472e-10,0.9806693020917001,0.231074864693053,0.013287782923444527,9.750033584086696e-10,0.7348185828574112
55,1.7577351e+18,10,SMS08,swale,SwF,far,1.7577417e+18,0.3118150899999999,138.33333333333331,1661,0.1380463510349032,79.97599113609851,0.17572867201500253,0.9980273808546667,0.37125564395019783,0.11056099249120042,2.946574005705914e-20,0.8333140670911956
